年份,场景,品类,启动系数,活跃计费单元(百万),活跃企业数,一码单价(RMB),一码渗透率,一码收入(百万元)
2030,坏,电池,1.0,445.23,5475.0,2.5,10.0%,111.31
2030,坏,消费电子/电子电器,1.0,1159.05,13511.0,0.12,10.0%,13.91
2030,坏,纺织服装,1.0,5674.67,49684.0,0.02,10.0%,11.35
2030,坏,轮胎/橡胶制品,1.0,169.36,1656.0,0.15,10.0%,2.54
2030,坏,钢铁及钢制品,1.0,197.95,5520.0,0.12,10.0%,2.38
2030,坏,铝制品,1.0,87.14,1656.0,0.12,10.0%,1.05
2030,坏,家具,1.0,418.88,11041.0,0.1,10.0%,4.19
2030,坏,床垫/寝具,0.65,28.47,1794.0,0.08,10.0%,0.23
2030,坏,塑料/包装,1.0,2422.2,6624.0,0.02,10.0%,4.84
2030,坏,涂料/洗涤剂,0.65,556.45,1794.0,0.04,10.0%,2.23
2030,坏,汽车及零部件,0.35,6.34,1379.0,0.5,10.0%,0.32
2030,坏,建筑材料,0.35,97.38,1932.0,0.08,10.0%,0.78
2030,坏,玩具,0.35,1060.76,3091.0,0.04,10.0%,4.24
2030,坏,化工/清洁剂/个人护理,0.35,597.55,1159.0,0.05,10.0%,2.99
2030,坏,家电白电,0.35,40.65,966.0,0.15,10.0%,0.61
2030,坏,机械设备/工业装备,0.35,28.72,3091.0,0.3,10.0%,0.86
2030,坏,纸张/木制品,0.35,334.9,1739.0,0.03,10.0%,1.0
2030,坏,医疗设备,0.35,37.85,696.0,0.4,10.0%,1.51
2030,坏,皮革/鞋类,0.35,586.93,3478.0,0.04,10.0%,2.35
2031,坏,电池,1.0,489.76,5694.0,2.55,12.0%,149.87
2031,坏,消费电子/电子电器,1.0,1228.6,13835.0,0.122,12.0%,18.05
2031,坏,纺织服装,1.0,5958.4,50677.0,0.02,12.0%,14.59
2031,坏,轮胎/橡胶制品,1.0,176.13,1689.0,0.153,12.0%,3.23
2031,坏,钢铁及钢制品,1.0,203.88,5631.0,0.122,12.0%,2.99
2031,坏,铝制品,1.0,89.75,1689.0,0.122,12.0%,1.32
2031,坏,家具,1.0,435.63,11262.0,0.102,12.0%,5.33
2031,坏,床垫/寝具,1.0,45.55,2815.0,0.082,12.0%,0.45
2031,坏,塑料/包装,1.0,2494.87,6757.0,0.02,12.0%,6.11
2031,坏,涂料/洗涤剂,1.0,881.76,2815.0,0.041,12.0%,4.32
2031,坏,汽车及零部件,0.65,12.47,2623.0,0.51,12.0%,0.76
2031,坏,建筑材料,0.65,186.27,3660.0,0.082,12.0%,1.82
2031,坏,玩具,0.65,2068.48,5856.0,0.041,12.0%,10.13
2031,坏,化工/清洁剂/个人护理,0.65,1143.03,2196.0,0.051,12.0%,7.0
2031,坏,家电白电,0.65,78.51,1830.0,0.153,12.0%,1.44
2031,坏,机械设备/工业装备,0.65,56.0,5856.0,0.306,12.0%,2.06
2031,坏,纸张/木制品,0.65,634.4,3294.0,0.031,12.0%,2.33
2031,坏,医疗设备,0.65,73.11,1318.0,0.408,12.0%,3.58
2031,坏,皮革/鞋类,0.65,1133.62,6588.0,0.041,12.0%,5.55
2032,坏,电池,1.0,538.73,5922.0,2.6,14.0%,196.1
2032,坏,消费电子/电子电器,1.0,1302.31,14167.0,0.125,14.0%,22.75
2032,坏,纺织服装,1.0,6256.32,51691.0,0.021,14.0%,18.22
2032,坏,轮胎/橡胶制品,1.0,183.18,1723.0,0.156,14.0%,4.0
2032,坏,钢铁及钢制品,1.0,210.0,5743.0,0.125,14.0%,3.67
2032,坏,铝制品,1.0,92.45,1723.0,0.125,14.0%,1.62
2032,坏,家具,1.0,453.06,11487.0,0.104,14.0%,6.6
2032,坏,床垫/寝具,1.0,47.37,2872.0,0.083,14.0%,0.55
2032,坏,塑料/包装,1.0,2569.71,6892.0,0.021,14.0%,7.48
2032,坏,涂料/洗涤剂,1.0,908.21,2872.0,0.042,14.0%,5.29
2032,坏,汽车及零部件,1.0,20.34,4132.0,0.52,14.0%,1.48
2032,坏,建筑材料,1.0,295.17,5743.0,0.083,14.0%,3.44
2032,坏,玩具,1.0,3341.39,9189.0,0.042,14.0%,19.46
2032,坏,化工/清洁剂/个人护理,1.0,1811.27,3446.0,0.052,14.0%,13.19
2032,坏,家电白电,1.0,125.61,2872.0,0.156,14.0%,2.74
